#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
     1    1    1   HB  4.55516  4.57413  4.38297  4.73562   42006081
     1    2    1   HB  4.11850  4.04789  4.83467  3.51590   42006082
     1    3    1   HB  3.51906  3.76354  3.86134  3.86701   42006083
     1    4    1   HB  3.44834  3.21826  3.77527  3.65574   42006084
     2    1    1   HB  4.19509  4.18855  4.15191  4.47322   42006101
     2    2    1   HB  4.31960  4.16494  4.78471  4.07942   42006102
     2    3    1   HB  4.06154  3.96682  4.14947  3.97940   42006103
     2    4    1   HB  4.74496  4.24176  4.72490  4.31370   42006104
     3    1    1   HB  4.31351  4.51904  4.27517  4.46397   42006181
     3    2    1   HB  4.31401  3.82386  4.35142  4.21997   42006182
     3    3    1   HB  4.41349  4.69025  4.58242  4.59972   42006183
     3    4    1   HB  4.09048  4.03920  4.12564  4.33462   42006184
     4    1    1   HB  4.55471  3.97670  4.05254  4.48731   42006201
     4    2    1   HB  4.11618  3.74939  4.67162  3.63478   42006202
     4    3    1   HB  3.03937  3.35938  3.57827  2.90996   42006203
     4    4    1   HB  4.57490  4.85173  4.70672  4.65259   42006204
     5    1    1   HB  4.24680  4.61474  4.31595  4.85940   42006281
     5    2    1   HB  3.83206  3.62038  4.13101  3.13788   42006282
     5    3    1   HB  3.82507  4.14152  3.81533  3.97603   42006283
     5    4    1   HB  4.20999  4.39458  4.23736  4.33411   42006284
     6    1    1   HB  4.55285  4.49273  4.21174  4.52611   42006301
     6    2    1   HB  4.23663  4.15840  4.48630  4.18748   42006302
     6    3    1   HB  4.10100  4.12125  4.28313  3.94401   42006303
     6    4    1   HB  3.65198  3.47240  3.49993  3.23442   42006304
     7    1    1   HB  3.57848  3.76145  3.81242  3.87982   42006381
     7    2    1   HB  3.93171  4.01323  4.03717  3.92392   42006382
     7    3    1   HB  3.19225  3.28793  3.76026  3.43366   42006383
     7    4    1   HB  3.86502  4.24216  4.39374  4.05875   42006384
     8    1    1   HB  4.72479  4.70916  4.56786  4.63149   42006401
     8    2    1   HB  4.83078  4.65957  5.17471  4.53076   42006402
     8    3    1   HB  3.87439  3.73955  4.05892  3.80072   42006403
     8    4    1   HB  4.45491  4.38227  4.64472  4.41140   42006404
     9    1    1   HB  4.15117  4.56249  4.43861  4.92368   42006481
     9    2    1   HB  4.96692  4.02063  4.22887  3.93460   42006482
     9    3    1   HB  3.45184  3.36893  3.24912  3.26374   42006483
     9    4    1   HB  3.54311  3.74907  3.60167  3.77961   42006484
    10    1    1   HB  3.70501  3.32350  4.16957  3.78821   42006501
    10    2    1   HB  4.55159  4.43854  4.67173  4.57897   42006502
    10    3    1   HB  3.14172  3.14393  3.15011  3.35238   42006503
    10    4    1   HB  3.33519  3.14027  3.60623  3.31530   42006504
    11    1    1   HB  2.92004  3.68547  3.54743  3.88606   42006581
    11    2    1   HB  3.94637  4.14449  4.26187  4.33047   42006582
    11    3    1   HB  3.86838  4.22557  4.18177  4.35994   42006583
    11    4    1   HB  3.87174  3.93667  3.81754  4.07003   42006584
    12    1    1   HB  3.81474  4.33578  3.89281  4.10282   42006601
    12    2    1   HB  4.26884  3.89583  4.03681  3.26641   42006602
    12    3    1   HB  2.86231  2.77320  3.01986  2.52336   42006603
    12    4    1   HB  4.31062  4.31311  4.65201  4.77115   42006604
    13    1    1   HB  3.26035  3.29329  3.27373  3.11723   42006681
    13    2    1   HB  4.16442  3.59193  3.79954  3.71203   42006682
    13    3    1   HB  3.61892  3.39104  3.96431  3.64023   42006683
    13    4    1   HB  4.28997  4.76237  4.77283  4.56049   42006684
    13    7    1   HB  2.84079  2.74975  3.72426  3.10076   42006687
    13    8    1   HB  3.40176  3.37066  3.58520  3.47860   42006688
    14    1    1   HB  4.06447  3.78621  4.14845  3.81370   42006701
    14    2    1   HB  3.91986  3.20315  3.51991  3.95752   42006702
    14    3    1   HB  4.46524  4.48710  5.02170  4.32996   42006703
    14    4    1   HB  3.94117  4.24173  4.09917  4.17135   42006704
    14    7    1   HB  3.78114  3.72699  3.93320  3.88787   42006707
    14    8    1   HB  4.95253  4.97593  5.31519  5.34681   42006708
    15    1    1   HB  4.51680  4.01757  4.35490  3.90307   42006781
    15    2    1   HB  3.63741  3.99343  3.79260  4.07296   42006782
    15    3    1   HB  3.91953  3.69354  4.02307  3.82538   42006783
    15    4    1   HB  4.13121  4.22344  4.34706  4.16186   42006784
    15    7    1   HB  3.91816  3.59273  3.90849  3.96001   42006787
    15    8    1   HB  3.96658  4.00416  4.35344  4.12105   42006788
    16    1    1   HB  4.66641  4.09249  4.64681  4.11763   42006801
    16    2    1   HB  4.52766  4.41018  4.87430  4.33131   42006802
    16    3    1   HB  4.42327  4.64308  4.63217  4.32557   42006803
    16    4    1   HB  4.24854  4.08855  4.38975  4.46667   42006804
    16    7    1   HB  4.11158  3.72105  3.78996  3.87152   42006807
    16    8    1   HB  3.90977  3.99886  4.34263  4.18827   42006808
    15    1    2   HB  4.05377  3.93759  4.63226  3.80044   4200A781
    15    2    2   HB  4.67849  4.21431  3.84907  4.23702   4200A782
    15    3    2   HB  3.20283  3.27533  3.64448  3.47335   4200A783
    15    4    2   HB  4.05766  3.62361  4.00063  3.66693   4200A784
    15    7    2   HB  4.74769  4.56441  4.99254  4.98786   4200A787
    15    8    2   HB  3.72836  3.75635  3.88965  4.24357   4200A788
    16    1    2   HB  4.63169  4.36312  4.53943  4.75314   4200A801
    16    2    2   HB  4.32739  3.76773  4.79236  4.31795   4200A802
    16    3    2   HB  3.46720  3.50968  3.68672  3.47045   4200A803
    16    4    2   HB  3.72657  3.88636  4.08630  4.10477   4200A804
    16    7    2   HB  3.91237  3.59598  4.79035  4.15394   4200A807
    16    8    2   HB  3.62032  3.42183  3.60404  3.81957   4200A808
     5    2    4   HB  4.12312  4.09839  4.35217  4.11178   46012282
     5    3    4   HB  3.85056  4.08089  3.96571  3.77979   46012283
     5    4    4   HB  4.24772  3.70549  3.97663  3.67074   46012284
     6    2    4   HB  3.94795  3.71348  4.07843  4.12043   46012302
     6    3    4   HB  3.88591  4.01465  3.98546  4.04382   46012303
     6    4    4   HB  3.91565  3.92503  3.60296  3.82251   46012304
     7    2    4   HB  3.82230  3.80637  4.15652  3.40449   46012382
     7    3    4   HB  3.30769  3.79145  3.59689  3.73817   46012383
